"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
City of Norwich,CT,Publicly Owned," 16,607 "," 13,897 "," 124,983 ",11.12
City of South Norwalk,CT,Publicly Owned," 4,781 "," 3,449 "," 38,629 ",8.93
Connecticut Light & Power Co,CT,Investor Owned," 1,035,683 "," 1,136,667 "," 10,069,162 ",11.29
Groton Dept of Utilities,CT,Publicly Owned," 10,017 "," 10,921 "," 114,212 ",9.56
Jewett City City of,CT,Publicly Owned," 1,810 "," 1,581 "," 13,332 ",11.86
Norwalk Third Taxing District,CT,Publicly Owned," 3,149 "," 3,058 "," 30,114 ",10.15
United Illuminating Co,CT,Investor Owned," 288,405 "," 273,230 "," 2,261,954 ",12.08
Wallingford Town of,CT,Publicly Owned," 20,387 "," 15,663 "," 213,019 ",7.35
City of Lewes,DE,Publicly Owned," 2,955 "," 3,164 "," 32,583 ",9.71
City of Milford,DE,Publicly Owned," 4,271 "," 5,609 "," 51,168 ",10.96
City of Seaford,DE,Publicly Owned," 2,702 "," 2,683 "," 28,890 ",9.29
Delaware Electric Coop Inc,DE,Cooperative," 59,601 "," 67,832 "," 791,738 ",8.57
Delmarva Power & Light Company,DE,Investor Owned," 250,098 "," 243,735 "," 2,895,993 ",8.42
Dover City of,DE,Publicly Owned," 17,635 "," 17,239 "," 180,474 ",9.55
New Castle Municipal Serv Comm,DE,Publicly Owned," 2,116 "," 1,867 "," 18,894 ",9.88
Newark City of,DE,Publicly Owned," 9,979 "," 9,159 "," 94,233 ",9.72
Town of Clayton,DE,Publicly Owned, 673 , 642 ," 6,129 ",10.47
Town of Middletown,DE,Publicly Owned," 4,048 "," 3,732 "," 47,392 ",7.87
Town of Smyrna,DE,Publicly Owned," 3,034 "," 4,384 "," 42,896 ",10.22
Potomac Electric Power Co,DC,Investor Owned," 177,182 "," 119,537 "," 1,522,724 ",7.85
Bartow City of,FL,Publicly Owned," 9,797 "," 11,954 "," 132,321 ",9.03
"Central Florida Elec Coop, Inc",FL,Cooperative," 27,578 "," 29,544 "," 342,888 ",8.62
"Choctawhatche Elec Coop, Inc",FL,Cooperative," 31,344 "," 38,632 "," 454,941 ",8.49
City of Alachua,FL,Publicly Owned," 2,596 "," 3,236 "," 33,383 ",9.69
City of Blountstown,FL,Publicly Owned," 1,001 ", 792 ," 11,936 ",6.64
City of Bushnell,FL,Publicly Owned, 768 , 776 ," 8,875 ",8.74
City of Chattahoochee,FL,Publicly Owned," 1,092 "," 1,025 "," 12,505 ",8.20
City of Clewiston,FL,Publicly Owned," 3,330 "," 4,713 "," 52,510 ",8.98
City of Fort Meade,FL,Publicly Owned," 2,292 "," 3,224 "," 30,052 ",10.73
City of Green Cove Springs,FL,Publicly Owned," 2,734 "," 3,567 "," 37,218 ",9.58
City of Homestead,FL,Publicly Owned," 14,441 "," 18,053 "," 189,695 ",9.52
City of Jacksonville Beach,FL,Publicly Owned," 26,166 "," 41,681 "," 461,217 ",9.04
City of Lake Worth,FL,Publicly Owned," 21,777 "," 25,025 "," 254,047 ",9.85
City of Lakeland,FL,Publicly Owned," 92,685 "," 131,064 "," 1,407,867 ",9.31
City of Leesburg,FL,Publicly Owned," 16,550 "," 17,789 "," 213,284 ",8.34
City of Mount Dora,FL,Publicly Owned," 4,345 "," 4,494 "," 52,351 ",8.58
City of Newberry,FL,Publicly Owned, 919 ," 1,061 "," 12,691 ",8.36
City of Ocala,FL,Publicly Owned," 38,235 "," 38,480 "," 523,400 ",7.35
City of Starke,FL,Publicly Owned," 1,931 "," 2,223 "," 23,575 ",9.43
City of Tallahassee,FL,Publicly Owned," 79,396 "," 100,629 "," 1,034,749 ",9.72
City of Vero Beach,FL,Publicly Owned," 26,444 "," 31,053 "," 370,294 ",8.39
City of Wauchula,FL,Publicly Owned," 1,971 "," 2,829 "," 27,330 ",10.35
City of Williston,FL,Publicly Owned, 975 ," 1,235 "," 10,969 ",11.26
"Clay Electric Cooperative, Inc",FL,Cooperative," 128,902 "," 165,957 "," 2,038,552 ",8.14
"Escambia River Elec Coop, Inc",FL,Cooperative," 8,454 "," 11,104 "," 125,969 ",8.81
"Florida Keys El Coop Assn, Inc",FL,Cooperative," 25,411 "," 33,950 "," 391,062 ",8.68
Florida Power & Light Company,FL,Investor Owned," 3,652,666 "," 4,615,740 "," 53,400,788 ",8.64
Florida Power Corp,FL,Investor Owned," 1,331,914 "," 1,691,228 "," 19,428,943 ",8.70
Florida Public Utilities Co,FL,Investor Owned," 22,632 "," 19,963 "," 328,039 ",6.09
Fort Pierce Utilities Auth,FL,Publicly Owned," 21,209 "," 24,183 "," 256,665 ",9.42
Gainesville Regional Utilities,FL,Publicly Owned," 74,456 "," 71,949 "," 853,787 ",8.43
"Glades Electric Coop, Inc",FL,Cooperative," 11,175 "," 14,695 "," 154,266 ",9.53
"Gulf Coast Electric Coop, Inc",FL,Cooperative," 17,146 "," 20,906 "," 239,345 ",8.73
Gulf Power Co,FL,Investor Owned," 338,631 "," 381,464 "," 5,101,099 ",7.48
Havana Power & Light Company,FL,Publicly Owned," 1,056 "," 1,256 "," 12,738 ",9.86
Jacksonville Electric Authority,FL,Publicly Owned," 336,809 "," 370,445 "," 5,424,721 ",6.83
Key West City of,FL,Publicly Owned," 23,743 "," 35,794 "," 340,453 ",10.51
Kissimmee Utility Authority,FL,Publicly Owned," 42,965 "," 58,155 "," 637,015 ",9.13
"Lee County Electric Coop, Inc",FL,Cooperative," 146,252 "," 167,966 "," 2,136,717 ",7.86
Moore Haven City of,FL,Publicly Owned, 865 , 841 ," 10,800 ",7.79
New Smyrna Beach City of,FL,Publicly Owned," 19,565 "," 20,254 "," 230,467 ",8.79
Okefenoke Rural El Member Corp,FL,Cooperative," 8,253 "," 11,197 "," 137,453 ",8.15
Orlando Utilities Comm,FL,Publicly Owned," 136,001 "," 146,048 "," 1,732,930 ",8.43
"Peace River Electric Coop, Inc",FL,Cooperative," 22,829 "," 30,999 "," 330,807 ",9.37
Quincy City of,FL,Publicly Owned," 3,863 "," 4,224 "," 45,915 ",9.20
Reedy Creek Improvement Dist,FL,Publicly Owned, 9 , 13 , 160 ,8.13
"Sumter Electric Coop, Inc",FL,Cooperative," 110,929 "," 134,156 "," 1,526,106 ",8.79
Suwannee Valley Elec Coop Inc,FL,Cooperative," 20,240 "," 26,654 "," 296,100 ",9.00
"Talquin Electric Coop, Inc",FL,Cooperative," 46,674 "," 59,164 "," 702,320 ",8.42
Tampa Electric Co,FL,Investor Owned," 531,257 "," 767,405 "," 8,264,748 ",9.29
"Tri-County Electric Coop, Inc",FL,Cooperative," 14,582 "," 15,189 "," 159,605 ",9.52
"West Florida El Coop Assn, Inc",FL,Cooperative," 22,840 "," 27,740 "," 307,139 ",9.03
Withlacoochee River Elec Coop,FL,Cooperative," 154,802 "," 194,394 "," 2,337,058 ",8.32
Albany Water Gas & Light Comm,GA,Publicly Owned," 31,385 "," 31,120 "," 408,924 ",7.61
Altamaha Electric Member Corp,GA,Cooperative," 16,755 "," 18,494 "," 226,203 ",8.18
Amicalola Electric Member Corp,GA,Cooperative," 34,411 "," 38,377 "," 446,258 ",8.60
Blue Ridge Mountain E M C,GA,Cooperative," 21,326 "," 16,890 "," 210,686 ",8.02
Canoochee Electric Member Corp,GA,Cooperative," 17,093 "," 18,655 "," 238,742 ",7.81
Carroll Electric Member Corp,GA,Cooperative," 43,023 "," 46,643 "," 542,300 ",8.60
Cartersville City of,GA,Publicly Owned," 5,758 "," 4,520 "," 61,840 ",7.31
Central Georgia El Member Corp,GA,Cooperative," 37,058 "," 42,242 "," 532,187 ",7.94
Chattanooga City of,GA,Publicly Owned," 9,605 "," 9,795 "," 150,997 ",6.49
City of Acworth,GA,Publicly Owned," 5,353 "," 4,682 "," 55,133 ",8.49
City of Adel,GA,Publicly Owned," 1,988 "," 2,402 "," 27,917 ",8.60
City of Barnesville,GA,Publicly Owned," 2,579 "," 2,394 "," 22,300 ",10.74
City of Blakely,GA,Publicly Owned," 2,132 "," 2,796 "," 33,000 ",8.47
City of Buford,GA,Publicly Owned," 2,347 "," 2,072 "," 26,240 ",7.90
City of Cairo,GA,Publicly Owned," 3,787 "," 4,563 "," 49,717 ",9.18
City of Calhoun,GA,Publicly Owned," 3,540 "," 3,213 "," 37,055 ",8.67
City of Camilla,GA,Publicly Owned," 1,858 "," 2,349 "," 26,014 ",9.03
City of Chickamauga,GA,Publicly Owned, 825 , 709 ," 10,889 ",6.51
City of College Park,GA,Publicly Owned," 8,192 "," 6,395 "," 84,400 ",7.58
City of Commerce,GA,Publicly Owned," 2,315 "," 2,077 "," 24,861 ",8.35
City of Doerun,GA,Publicly Owned, 382 , 511 ," 4,410 ",11.59
City of Douglas,GA,Publicly Owned," 3,785 "," 6,150 "," 59,454 ",10.34
City of East Point,GA,Publicly Owned," 15,726 "," 10,811 "," 140,272 ",7.71
City of Elberton,GA,Publicly Owned," 3,636 "," 3,263 "," 39,275 ",8.31
City of Ellaville,GA,Publicly Owned, 780 , 703 ," 8,502 ",8.27
City of Fairburn,GA,Publicly Owned," 1,778 "," 1,283 "," 15,524 ",8.26
City of Forsyth,GA,Publicly Owned," 1,942 "," 1,839 "," 24,081 ",7.64
City of Grantville,GA,Publicly Owned, 617 , 520 ," 7,126 ",7.30
City of Griffin,GA,Publicly Owned," 12,798 "," 10,300 "," 138,977 ",7.41
City of Hampton,GA,Publicly Owned," 1,445 "," 1,115 "," 15,900 ",7.01
City of La Grange,GA,Publicly Owned," 10,419 "," 8,475 "," 112,347 ",7.54
City of LaFayette,GA,Publicly Owned," 3,317 "," 2,871 "," 37,581 ",7.64
City of Lawrenceville,GA,Publicly Owned," 8,981 "," 6,250 "," 96,718 ",6.46
City of Mansfield,GA,Publicly Owned, 229 , 328 ," 3,448 ",9.51
City of Marietta,GA,Publicly Owned," 34,782 "," 28,084 "," 333,315 ",8.43
City of Monticello,GA,Publicly Owned," 1,101 "," 1,038 "," 10,451 ",9.93
City of Norcross,GA,Publicly Owned," 3,111 "," 2,283 "," 30,430 ",7.50
City of Palmetto,GA,Publicly Owned," 1,390 "," 1,432 "," 17,712 ",8.08
City of Quitman,GA,Publicly Owned," 1,913 "," 2,327 "," 23,734 ",9.80
City of Sandersville,GA,Publicly Owned," 2,123 "," 1,971 "," 26,128 ",7.54
City of Sylvania,GA,Publicly Owned," 1,743 "," 1,923 "," 22,884 ",8.40
City of Sylvester,GA,Publicly Owned," 2,241 "," 2,551 "," 32,470 ",7.86
City of Thomaston,GA,Publicly Owned," 3,877 "," 3,557 "," 35,443 ",10.04
City of Thomasville,GA,Publicly Owned," 11,927 "," 13,533 "," 178,917 ",7.56
City of Washington,GA,Publicly Owned," 2,014 "," 1,816 "," 20,332 ",8.93
City of West Point,GA,Publicly Owned," 1,277 "," 1,364 "," 18,915 ",7.21
City of Whigham,GA,Publicly Owned, 229 , 315 ," 2,933 ",10.74
Coastal Electric Member Corp,GA,Cooperative," 11,886 "," 15,027 "," 185,549 ",8.10
Cobb Electric Membership Corp,GA,Cooperative," 155,495 "," 179,854 "," 2,069,353 ",8.69
Colquitt Electric Membership Corp,GA,Cooperative," 49,287 "," 57,565 "," 729,899 ",7.89
Covington City of,GA,Publicly Owned," 8,541 "," 9,602 "," 106,397 ",9.02
Coweta-Fayette El Member Corp,GA,Cooperative," 59,662 "," 72,827 "," 848,385 ",8.58
Crisp County Power Comm,GA,Publicly Owned," 9,369 "," 9,623 "," 148,741 ",6.47
Dalton Utilities,GA,Publicly Owned," 11,084 "," 6,458 "," 149,585 ",4.32
Diverse Power Incorporated,GA,Cooperative," 22,268 "," 27,215 "," 351,152 ",7.75
Excelsior Electric Member Corp,GA,Cooperative," 17,847 "," 18,458 "," 271,740 ",6.79
Fitzgerald Wtr Lgt & Bond Comm,GA,Publicly Owned," 5,254 "," 6,428 "," 80,220 ",8.01
Flint Electric Membership Corp,GA,Cooperative," 60,090 "," 74,217 "," 955,179 ",7.77
Fort Valley Utility Comm,GA,Publicly Owned," 4,264 "," 3,806 "," 46,074 ",8.26
Georgia Power Co,GA,Investor Owned," 1,753,391 "," 1,583,082 "," 21,778,582 ",7.27
Grady Electric Membership Corp,GA,Cooperative," 16,587 "," 22,188 "," 232,181 ",9.56
GreyStone Power Corporation,GA,Cooperative," 85,004 "," 89,109 "," 1,153,051 ",7.73
Habersham Electric Membership Corp,GA,Cooperative," 28,114 "," 27,351 "," 333,969 ",8.19
Hart Electric Member Corp,GA,Cooperative," 27,679 "," 28,448 "," 345,602 ",8.23
Haywood Electric Member Corp,GA,Cooperative, 351 , 256 ," 2,661 ",9.62
Hogansville City of,GA,Publicly Owned," 1,329 "," 1,200 "," 12,544 ",9.57
Irwin Electric Membership Corp,GA,Cooperative," 10,304 "," 13,284 "," 142,330 ",9.33
Jackson City of,GA,Publicly Owned," 1,170 "," 1,166 "," 13,510 ",8.63
Jackson Electric Member Corp,GA,Cooperative," 159,485 "," 176,476 "," 2,240,198 ",7.88
Jefferson Electric Member Corp,GA,Cooperative," 29,601 "," 35,441 "," 402,032 ",8.82
Lamar Electric Membership Corp,GA,Cooperative," 15,876 "," 18,718 "," 227,414 ",8.23
Little Ocmulgee El Member Corp,GA,Cooperative," 9,847 "," 10,506 "," 121,547 ",8.64
Middle Georgia El Member Corp,GA,Cooperative," 4,729 "," 5,903 "," 75,445 ",7.82
Mitchell Electric Member Corp,GA,Cooperative," 20,407 "," 25,122 "," 316,073 ",7.95
"Monroe Water, Light & Gas Comm",GA,Publicly Owned," 4,827 "," 4,998 "," 59,020 ",8.47
Moultrie City of,GA,Publicly Owned," 5,652 "," 6,083 "," 75,156 ",8.09
"Newnan Wtr, Sewer & Light Comm",GA,Publicly Owned," 6,422 "," 6,033 "," 62,757 ",9.61
North Georgia Elec Member Corp,GA,Cooperative," 78,761 "," 84,867 "," 1,348,285 ",6.29
Ocmulgee Electric Member Corp,GA,Cooperative," 10,145 "," 10,866 "," 122,925 ",8.84
Oconee Electric Member Corp,GA,Cooperative," 11,135 "," 12,520 "," 147,262 ",8.50
Okefenoke Rural El Member Corp,GA,Cooperative," 19,236 "," 23,535 "," 285,755 ",8.24
Oxford City of,GA,Publicly Owned, 595 , 747 ," 6,697 ",11.15
Pataula Electric Member Corp,GA,Cooperative," 4,613 "," 3,627 "," 43,464 ",8.34
Planters Electric Member Corp,GA,Cooperative," 14,511 "," 15,916 "," 214,088 ",7.43
Rayle Electric Membership Corp,GA,Cooperative," 16,376 "," 16,963 "," 196,872 ",8.62
Satilla Rural Elec Member Corporation,GA,Cooperative," 45,210 "," 54,797 "," 674,370 ",8.13
Savannah Electric & Power Co,GA,Investor Owned," 121,013 "," 142,815 "," 1,738,489 ",8.21
Sawnee Electric Membership Corporation,GA,Cooperative," 108,810 "," 140,433 "," 1,560,593 ",9.00
Slash Pine Elec Member Corp,GA,Cooperative," 6,708 "," 8,179 "," 104,316 ",7.84
Snapping Shoals El Member Corp,GA,Cooperative," 72,315 "," 85,463 "," 1,086,059 ",7.87
Sumter Electric Member Corp,GA,Cooperative," 13,609 "," 18,965 "," 230,710 ",8.22
Three Notch Elec Member Corp,GA,Cooperative," 13,880 "," 14,818 "," 156,081 ",9.49
Town of Brinson,GA,Publicly Owned, 122 , 153 ," 1,958 ",7.81
Tri-County Elec Member Corp,GA,Cooperative," 17,296 "," 19,182 "," 237,077 ",8.09
Tri-State Electric Member Corp,GA,Cooperative," 9,490 "," 8,582 "," 107,052 ",8.02
Upson Elec Member Corp,GA,Cooperative," 7,968 "," 8,379 "," 102,875 ",8.14
Walton Electric Member Corp,GA,Cooperative," 94,431 "," 111,168 "," 1,423,810 ",7.81
Washington Elec Member Corp,GA,Cooperative," 13,973 "," 15,243 "," 176,204 ",8.65
Hawaii Electric Light Co Inc,HI,Investor Owned," 56,531 "," 86,305 "," 389,874 ",22.14
Hawaiian Electric Co Inc,HI,Investor Owned," 253,033 "," 307,671 "," 2,066,522 ",14.89
Kauai Island Utility Coop,HI,Cooperative," 24,766 "," 34,852 "," 151,673 ",22.98
Maui Electric Co Ltd,HI,Investor Owned," 51,492 "," 77,721 "," 419,511 ",18.53
Atlanta Power Company Inc,ID,Investor Owned, 55 , 39 , 113 ,34.51
Avista Corp,ID,Investor Owned," 92,499 "," 64,395 "," 1,034,089 ",6.23
City of Albion,ID,Publicly Owned, 117 , 115 ," 1,878 ",6.12
City of Bonners Ferry,ID,Publicly Owned," 1,712 "," 1,146 "," 21,910 ",5.23
City of Burley,ID,Publicly Owned," 3,631 "," 2,678 "," 42,747 ",6.26
City of Declo,ID,Publicly Owned, 106 , 159 ," 1,849 ",8.60
City of Minidoka,ID,Publicly Owned, 37 , 32 , 501 ,6.39
City of Plummer,ID,Publicly Owned, 642 , 545 ," 8,493 ",6.42
City of Soda Springs,ID,Publicly Owned," 1,459 ", 650 ," 12,346 ",5.26
City of Weiser,ID,Publicly Owned," 2,300 ", 375 ," 23,401 ",1.60
Clearwater Power Company,ID,Cooperative," 7,891 "," 9,238 "," 100,722 ",9.17
East End Mutual Elec Co Ltd,ID,Cooperative, 518 , 515 ," 13,000 ",3.96
Fall River Rural Elec Coop Inc,ID,Cooperative," 8,428 "," 8,430 "," 94,922 ",8.88
"Farmers Electric Company, Ltd",ID,Cooperative, 128 , 75 ," 2,068 ",3.63
Heyburn City of,ID,Publicly Owned," 1,080 "," 1,006 "," 16,432 ",6.12
"Idaho Cnty L&P Coop Assn, Inc",ID,Cooperative," 2,899 "," 2,960 "," 32,070 ",9.23
Idaho Falls City of,ID,Publicly Owned," 20,090 "," 18,642 "," 267,737 ",6.96
Idaho Power Co,ID,Investor Owned," 341,652 "," 266,500 "," 4,238,675 ",6.29
Inland Power & Light Company,ID,Cooperative," 1,157 "," 1,001 "," 17,529 ",5.71
Kootenai Electric Coop Inc,ID,Cooperative," 16,893 "," 13,265 "," 213,825 ",6.20
Lost River Electric Coop Inc,ID,Cooperative," 1,653 "," 1,714 "," 24,416 ",7.02
Lower Valley Energy Inc,ID,Cooperative," 1,255 ", 685 ," 11,291 ",6.07
"Missoula Electric Coop, Inc",ID,Cooperative, 25 , 20 , 295 ,6.78
"Northern Lights, Inc",ID,Cooperative," 12,012 "," 11,240 "," 134,483 ",8.36
PacifiCorp,ID,Investor Owned," 48,452 "," 25,401 "," 585,685 ",4.34
Raft River Rural Elec Coop Inc,ID,Cooperative," 1,391 "," 1,335 "," 20,579 ",6.49
Rupert City of,ID,Publicly Owned," 2,317 "," 2,330 "," 37,018 ",6.29
Salmon River Electric Coop Inc,ID,Cooperative," 1,872 "," 2,210 "," 27,903 ",7.92
"South Side Electric, Inc",ID,Cooperative, 672 ," 1,038 "," 23,255 ",4.46
"United Electric Co-op, Inc",ID,Cooperative," 3,925 "," 4,818 "," 80,400 ",5.99
"Vigilante Electric Coop, Inc",ID,Cooperative, 27 , 12 , 112 ,10.71
Adams Electric Coop,IL,Cooperative," 7,650 "," 10,858 "," 91,524 ",11.86
Altamont City of,IL,Publicly Owned," 1,152 ", 789 ," 10,816 ",7.29
Cairo Public Utility Company,IL,Publicly Owned," 1,373 "," 1,267 "," 13,832 ",9.16
Carlyle City of,IL,Publicly Owned," 1,473 "," 1,144 "," 13,705 ",8.35
Carmi City of,IL,Publicly Owned," 2,796 "," 1,598 "," 24,426 ",6.54
Central Illinois Light Co,IL,Investor Owned," 182,149 "," 139,192 "," 1,891,968 ",7.36
Central Illinois Pub Serv Co,IL,Investor Owned," 275,328 "," 219,452 "," 2,987,422 ",7.35
City of Albany,IL,Publicly Owned, 395 , 291 ," 3,741 ",7.78
City of Allendale,IL,Publicly Owned, 240 , 193 ," 2,512 ",7.68
City of Batavia,IL,Publicly Owned," 9,224 "," 6,008 "," 86,187 ",6.97
City of Breese,IL,Publicly Owned," 1,819 "," 1,707 "," 24,788 ",6.89
City of Bushnell,IL,Publicly Owned," 1,493 ", 931 ," 13,229 ",7.04
City of Casey,IL,Publicly Owned," 1,856 ", 963 ," 13,261 ",7.26
City of Fairfield,IL,Publicly Owned," 2,772 "," 1,837 "," 25,753 ",7.13
City of Farmer City,IL,Publicly Owned, 985 , 798 ," 7,855 ",10.16
City of Flora,IL,Publicly Owned," 2,400 "," 1,475 "," 22,954 ",6.43
City of Geneva,IL,Publicly Owned," 7,640 "," 4,114 "," 76,429 ",5.38
City of Highland,IL,Publicly Owned," 4,991 "," 4,438 "," 54,738 ",8.11
City of Marshall,IL,Publicly Owned," 2,063 "," 1,477 "," 18,148 ",8.14
City of Mascoutah,IL,Publicly Owned," 2,364 "," 1,903 "," 21,831 ",8.72
City of Metropolis,IL,Publicly Owned," 3,256 "," 1,933 "," 29,930 ",6.46
City of Newton,IL,Publicly Owned," 1,478 ", 810 ," 12,667 ",6.39
City of Peru,IL,Publicly Owned," 4,503 "," 2,459 "," 34,766 ",7.07
City of Princeton,IL,Publicly Owned," 3,585 "," 2,023 "," 27,936 ",7.24
City of Rock Falls,IL,Publicly Owned," 4,754 "," 3,217 "," 37,307 ",8.62
City of Springfield,IL,Publicly Owned," 57,623 "," 42,260 "," 677,601 ",6.24
City of St Charles,IL,Publicly Owned," 12,340 "," 8,569 "," 118,896 ",7.21
City of Sullivan,IL,Publicly Owned," 2,176 "," 1,659 "," 19,074 ",8.70
Clay Electric Coop Inc,IL,Cooperative," 2,815 "," 3,416 "," 29,286 ",11.66
"Clinton County Elec Coop, Inc",IL,Cooperative," 4,796 "," 7,184 "," 70,900 ",10.13
Coles-Moultrie Electric Coop,IL,Cooperative," 8,138 "," 10,657 "," 106,776 ",9.98
Commonwealth Edison Co,IL,Investor Owned," 3,294,477 "," 2,271,579 "," 26,205,407 ",8.67
Corn Belt Energy Corporation,IL,Cooperative," 27,165 "," 30,676 "," 298,074 ",10.29
Eastern Illinois Elec Coop,IL,Cooperative," 12,528 "," 18,539 "," 162,771 ",11.39
"Edgar Electric Co-op, Assn",IL,Cooperative," 4,964 "," 6,148 "," 53,741 ",11.44
Egyptian Electric Coop Assn,IL,Cooperative," 12,791 "," 15,688 "," 191,604 ",8.19
Farmers Mutual Electric Co,IL,Cooperative," 1,308 "," 1,693 "," 13,884 ",12.19
Freeburg Village of,IL,Publicly Owned," 1,687 "," 1,636 "," 21,939 ",7.46
Geneseo City of,IL,Publicly Owned," 2,909 "," 2,187 "," 25,334 ",8.63
Illinois Power Co,IL,Investor Owned," 530,722 "," 410,314 "," 5,309,031 ",7.73
Illinois Rural Electric Coop,IL,Cooperative," 10,309 "," 13,093 "," 110,559 ",11.84
Interstate Power and Light Co,IL,Investor Owned," 10,751 "," 6,011 "," 85,923 ",7.00
Jo-Carroll Energy Coop Inc,IL,Cooperative," 6,022 "," 6,628 "," 58,512 ",11.33
M J M Electric Cooperative Inc,IL,Cooperative," 8,681 "," 10,396 "," 99,800 ",10.42
McDonough Power Coop,IL,Cooperative," 4,731 "," 5,472 "," 54,000 ",10.13
McLeansboro City of,IL,Publicly Owned," 1,377 ", 994 ," 10,290 ",9.66
Menard Electric Coop,IL,Cooperative," 8,768 "," 11,428 "," 99,733 ",11.46
MidAmerican Energy Co,IL,Investor Owned," 74,635 "," 48,576 "," 591,403 ",8.21
"Monroe County Elec Coop, Inc",IL,Cooperative," 6,325 "," 8,060 "," 84,577 ",9.53
Mt Carmel Public Utility Co,IL,Investor Owned," 4,614 "," 4,717 "," 50,202 ",9.40
Naperville City of,IL,Publicly Owned," 49,208 "," 39,581 "," 523,469 ",7.56
Norris Electric Coop,IL,Cooperative," 16,640 "," 16,192 "," 223,607 ",7.24
Oglesby City of,IL,Publicly Owned," 1,702 "," 1,058 "," 12,770 ",8.29
Red Bud City of,IL,Publicly Owned," 1,609 ", 971 ," 16,683 ",5.82
Rochelle Municipal Utilities,IL,Publicly Owned," 5,692 "," 4,302 "," 48,497 ",8.87
Rock County Electric Coop Assn,IL,Cooperative, 86 , 102 ," 1,264 ",8.07
Roodhouse City of,IL,Publicly Owned, 882 , 682 ," 7,233 ",9.43
Rural Electric Conven Coop,IL,Cooperative," 5,220 "," 8,117 "," 72,884 ",11.14
Scenic Rivers Energy Coop,IL,Cooperative, 14 , 23 , 284 ,8.10
"Shelby Electric Coop, Inc",IL,Cooperative," 9,225 "," 12,890 "," 114,581 ",11.25
South Beloit Wtr Gas & Elec Co,IL,Investor Owned," 7,693 "," 5,703 "," 71,291 ",8.00
"Southeastern IL Elec Coop, Inc",IL,Cooperative," 19,932 "," 25,145 "," 292,895 ",8.58
Southern Illinois Elec Coop,IL,Cooperative," 11,064 "," 13,654 "," 150,072 ",9.10
Southwestern Electric Coop Inc,IL,Cooperative," 18,659 "," 22,042 "," 243,314 ",9.06
"Spoon River Electric Coop, Inc",IL,Cooperative," 4,328 "," 4,962 "," 38,232 ",12.98
"Tri-County Electric Coop, Inc",IL,Cooperative," 14,804 "," 22,953 "," 208,292 ",11.02
Union Electric Co,IL,Investor Owned," 56,876 "," 41,594 "," 641,521 ",6.48
Village of Bethany,IL,Publicly Owned, 624 , 445 ," 5,500 ",8.09
Village of Chatham,IL,Publicly Owned," 3,467 "," 2,921 "," 36,936 ",7.91
Village of Greenup,IL,Publicly Owned, 771 , 464 ," 6,464 ",7.18
Village of Ladd,IL,Publicly Owned, 594 , 448 ," 5,043 ",8.88
Village of Rantoul,IL,Publicly Owned," 5,686 "," 3,478 "," 47,664 ",7.30
Village of Riverton,IL,Publicly Owned," 1,569 ", 982 ," 13,596 ",7.22
Waterloo City of,IL,Publicly Owned," 3,425 "," 2,878 "," 33,475 ",8.60
Wayne-White Counties Elec Coop,IL,Cooperative," 12,437 "," 14,422 "," 138,457 ",10.42
Western Illinois Elec Coop,IL,Cooperative," 3,343 "," 4,381 "," 36,467 ",12.01
Winnetka Village of,IL,Publicly Owned," 4,471 "," 6,960 "," 73,799 ",9.43
Bartholomew County Rural E M C,IN,Cooperative," 9,823 "," 10,282 "," 141,885 ",7.25
